#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 163358:1733 | 04/24/11 12:29:20 | 22   | 22   | 0.000          | 0.000         |
| 163369:1735 | 04/24/11 17:02:03 | 94   | 94   | 0.001          | 0.001         |
| 163370:1735 | 04/24/11 17:42:55 | 147  | 147  | 0.002          | 0.001         |
| 163371:1735 | 04/24/11 18:51:43 | 316  | 316  | 0.003          | 0.003         |
| 163372:1735 | 04/24/11 21:17:41 | 52   | 52   | 0.000          | 0.000         |
| 163374:1735 | 04/24/11 22:03:18 | 860  | 860  | 0.007          | 0.007         |
| 163375:1735 | 04/25/11 03:42:52 | 10   | 10   | 0.000          | 0.000         |
| 163376:1735 | 04/25/11 03:49:31 | 245  | 245  | 0.002          | 0.002         |
| 163378:1735 | 04/25/11 05:31:07 | 574  | 574  | 0.004          | 0.004         |
| 163385:1736 | 04/25/11 12:22:21 | 351  | 351  | 0.003          | 0.003         |
| 163387:1736 | 04/25/11 15:01:50 | 253  | 253  | 0.002          | 0.002         |
| 163402:1737 | 04/25/11 19:47:14 | 722  | 722  | 0.007          | 0.007         |
| 163475:1739 | 04/26/11 19:31:44 | 266  | 266  | 0.003          | 0.003         |
| 163476:1739 | 04/26/11 21:19:40 | 209  | 209  | 0.002          | 0.002         |
| 163478:1739 | 04/26/11 22:51:24 | 70   | 70   | 0.001          | 0.000         |
| 163479:1739 | 04/26/11 23:24:03 | 175  | 175  | 0.002          | 0.002         |
| 163480:1739 | 04/27/11 00:36:47 | 186  | 186  | 0.002          | 0.002         |
| 163481:1739 | 04/27/11 01:54:30 | 77   | 77   | 0.001          | 0.001         |
| 163482:1739 | 04/27/11 02:29:33 | 28   | 28   | 0.000          | 0.000         |
| 163483:1739 | 04/27/11 02:52:17 | 44   | 44   | 0.000          | 0.000         |
| 163582:1743 | 04/27/11 19:24:25 | 20   | 20   | 0.000          | 0.000         |
| 163583:1743 | 04/27/11 19:50:16 | 198  | 198  | 0.003          | 0.003         |
| 163584:1743 | 04/27/11 21:20:54 | 56   | 56   | 0.001          | 0.001         |
| 163585:1743 | 04/27/11 21:54:01 | 32   | 32   | 0.000          | 0.000         |
| 163586:1743 | 04/27/11 22:10:43 | 75   | 75   | 0.001          | 0.001         |
